"gemeentenaam";"openbareruimtenaam";"huisnummer";"huisletter";"huisnummertoevoeging";"postcode";"woonplaatsnaam";"provincienaam";"lon";"lat";"bouwjaar"
"Oostzaan";"Spoetnikstraat";25;"";"";"1511DG";"Oostzaan";"Noord-Holland";4.8728629994083;52.4491313350104;2013
"Opmeer";"Koninginneweg";18;"";"";"1716DH";"Opmeer";"Noord-Holland";4.9427434839149;52.7014810016279;
"Opsterland";"Lijnbaan";7;"";"";"8401VL";"Gorredijk";"Friesland";6.06630972416743;53.0028669997563;1982
"Oss";"Strepenakker";26;"";"";"5373ES";"Herpen";"Noord-Brabant";5.63736869505651;51.7748338566114;2015
"Oud-Beijerland";"Julianastraat";43;"A";"";"3262SH";"Oud-Beijerland";"Zuid-Holland";4.41495893567222;51.8236447627577;1920
"Oude IJsselstreek";"Staringstraat";3;"";"";"7061XZ";"Terborg";"Gelderland";6.34933053734163;51.9206704765883;1916
"Ouder-Amstel";"Kerkstraat";30;"";"";"1191JC";"Ouderkerk aan de Amstel";"Noord-Holland";4.90260661565928;52.2963159849391;1900
"Oudewater";"Oude Singel";11;"";"2";"3421ED";"Oudewater";"Utrecht";4.8686576539104;52.026163584788;2015
"Overbetuwe";"Bachstraat";29;"k";"216";"6661CP";"Elst";"Gelderland";5.85078729568024;51.9213466361965;1982
"Papendrecht";"Irispad";4;"";"";"3353VB";"Papendrecht";"Zuid-Holland";4.6906494062395;51.8300381657071;1995
"Peel en Maas";"Pastoor Vullinghsstraat";3;"";"";"5985PG";"Grashoek";"Limburg";5.94148345597827;51.3611615343239;1976
"Pekela";"Rembrandtlaan";15;"";"";"9663BP";"Nieuwe Pekela";"Groningen";6.9667039299311;53.0817747030995;1975
"Pijnacker-Nootdorp";"Oude Leedeweg";123;"";"";"2641NN";"Pijnacker";"Zuid-Holland";4.42449426071755;51.9877017112537;1920
"Purmerend";"Middenakker";50;"";"";"1446GS";"Purmerend";"Noord-Holland";4.98571516887482;52.5120528648751;1990
"Putten";"Hoge Engweg";4;"";"8";"3882TA";"Putten";"Gelderland";5.60146169586774;52.2490571756268;
"Raalte";"Bentinckstraat";7;"";"";"8101BA";"Raalte";"Overijssel";6.27075651687465;52.3853575557337;1974
"Reimerswaal";"Maartenbroersweg";75;"";"";"4417BK";"Hansweert";"Zeeland";4.00238999183614;51.4522713872171;
"Renkum";"Laakweg";3;"";"";"6862XA";"Oosterbeek";"Gelderland";5.85037179471527;51.9810960162086;1955
"Renswoude";"Ruiterpad";1;"";"";"3927GZ";"Renswoude";"Utrecht";5.54149957012614;52.0775443904445;
"Reusel-De Mierden";"Smeelakkers";10;"";"";"5096CJ";"Hulsel";"Noord-Brabant";5.17963421020469;51.3896511849879;1996
"Rheden";"Reigerstraat";30;"d";"";"6883ES";"Velp";"Gelderland";5.98049722993754;51.9883305858829;1975
"Rhenen";"Houweg";9;"";"";"3921DB";"Elst Ut";"Utrecht";5.49075940570972;51.9868679236168;1971
"Ridderkerk";"Westmolendijk";102;"";"";"2985XK";"Ridderkerk";"Zuid-Holland";4.60647639392145;51.868318485636;
"Rijnwaarden";"Rijnstraat";36;"";"";"6916BD";"Tolkamer";"Gelderland";6.10234003799264;51.8514771209056;1990
"Rijssen-Holten";"Reggesingel";50;"";"";"7461AK";"Rijssen";"Overijssel";6.51994389147859;52.3135120398445;1989
"Rijswijk";"Dr H. Colijnlaan";175;"";"";"2283XG";"Rijswijk";"Zuid-Holland";4.32371856933845;52.0423184714706;1958
"Roerdalen";"Daelenbroekweg";5;"";"";"6075ER";"Herkenbosch";"Limburg";6.06720301546386;51.1540987487848;9999
"Roermond";"Boven de Wolfskuil";3;"B";"24";"6049LX";"Herten";"Limburg";5.96220981734688;51.1647338833726;2012
"Roosendaal";"Rector Hellemonsstraat";8;"";"";"4702RH";"Roosendaal";"Noord-Brabant";4.47764563303935;51.5434447039563;1952
"Rotterdam";"Alsemstraat";12;"";"";"3193TA";"Hoogvliet Rotterdam";"Zuid-Holland";4.34392082024046;51.8679900800068;1965
"Rozendaal";"Kleiberglaan";1;"";"";"6891DK";"Rozendaal";"Gelderland";5.97211264075497;52.0040690208388;1959
"Rucphen";"Bremstraat";1;"A";"";"4711CD";"St. Willebrord";"Noord-Brabant";4.5898152596462;51.5574994324693;9999
"Schagen";"Park De Luwe Stek";107;"";"";"1738JV";"Waarland";"Noord-Holland";4.84237127207318;52.7216109471958;
"Scherpenzeel";"Eikenlaan";5;"";"";"3925VG";"Scherpenzeel";"Gelderland";5.48969019438959;52.0826754647641;1964
